"Statistic","Year","Age_Group","UNIT","Male","Female","Total"
"Full Driving Licences","2021","17 - 20 years","Number","25574","17934",43508
"Full Driving Licences","2021","21 - 24 years","Number","63606","54209",117815
"Full Driving Licences","2021","25 - 29 years","Number","99588","90797",190385
"Full Driving Licences","2021","30 - 39 years","Number","285083","269178",554261
"Full Driving Licences","2021","40 - 49 years","Number","349006","322454",671460
"Full Driving Licences","2021","50 - 59 years","Number","306805","266679",573484
