"Statistic Label","Year","County","UNIT","VALUE"
"Penalty points recorded","2022","Cork","Number","59797"
"Penalty points recorded","2022","Donegal","Number","13360"
"Penalty points recorded","2022","Dublin","Number","116692"
"Penalty points recorded","2022","Kildare","Number","26729"
"Penalty points recorded","2022","Limerick","Number","20508"
"Penalty points recorded","2022","Mayo","Number","13175"
"Penalty points recorded","2022","Wicklow","Number","19415"
